'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:03.973',-0.135,-0.264,-0.129,0.199,-0.003,-0.197,0.094,0.114,0.153,0.103,0.033,0.028,-0.054,0.005,-0.055
'0:03.974',-0.143,-0.263,-0.120,0.203,-0.011,-0.192,0.092,0.112,0.149,0.099,0.029,0.025,-0.055,0.007,-0.051
'0:03.975',-0.145,-0.273,-0.128,0.208,-0.009,-0.200,0.086,0.102,0.140,0.089,0.021,0.019,-0.057,0.007,-0.051
'0:03.976',-0.147,-0.274,-0.127,0.210,-0.010,-0.200,0.088,0.103,0.140,0.088,0.021,0.018,-0.059,0.011,-0.052
'0:03.977',-0.141,-0.270,-0.130,0.205,-0.005,-0.200,0.092,0.105,0.142,0.094,0.023,0.020,-0.060,0.009,-0.053
'0:03.978',-0.131,-0.273,-0.142,0.202,0.005,-0.207,0.087,0.098,0.134,0.089,0.018,0.013,-0.061,0.003,-0.054
'0:03.979',-0.126,-0.270,-0.144,0.198,0.009,-0.207,0.086,0.098,0.136,0.091,0.019,0.013,-0.061,0.008,-0.056
'0:03.980',-0.123,-0.274,-0.150,0.199,0.013,-0.212,0.085,0.096,0.135,0.092,0.018,0.014,-0.059,0.010,-0.056
'0:03.981',-0.133,-0.285,-0.152,0.209,0.010,-0.218,0.084,0.093,0.132,0.091,0.017,0.013,-0.059,0.004,-0.053
'0:03.982',-0.133,-0.282,-0.149,0.207,0.008,-0.215,0.083,0.093,0.137,0.097,0.023,0.018,-0.057,-0.005,-0.053
'0:03.983',-0.141,-0.281,-0.140,0.210,0.000,-0.210,0.089,0.099,0.141,0.102,0.030,0.022,-0.056,-0.008,-0.054
'0:03.984',-0.135,-0.284,-0.149,0.209,0.008,-0.217,0.093,0.102,0.138,0.101,0.030,0.022,-0.055,-0.015,-0.052
'0:03.985',-0.135,-0.283,-0.148,0.209,0.007,-0.216,0.092,0.100,0.138,0.100,0.030,0.025,-0.053,-0.010,-0.052
'0:03.986',-0.167,-0.284,-0.117,0.226,-0.025,-0.202,0.096,0.104,0.145,0.108,0.040,0.031,-0.052,0.005,-0.052
'0:03.987',-0.178,-0.283,-0.104,0.231,-0.036,-0.194,0.096,0.105,0.146,0.113,0.043,0.034,-0.052,0.004,-0.053
'0:03.988',-0.152,-0.282,-0.130,0.217,-0.011,-0.206,0.088,0.099,0.139,0.105,0.035,0.027,-0.052,0.001,-0.055
'0:03.989',-0.141,-0.282,-0.141,0.211,0.000,-0.212,0.084,0.093,0.130,0.100,0.029,0.021,-0.055,0.009,-0.057
'0:03.990',-0.177,-0.286,-0.110,0.232,-0.034,-0.198,0.089,0.096,0.133,0.104,0.035,0.026,-0.059,0.011,-0.055
'0:03.991',-0.181,-0.280,-0.099,0.231,-0.041,-0.190,0.086,0.098,0.134,0.105,0.036,0.025,-0.059,0.006,-0.057
'0:03.992',-0.158,-0.272,-0.114,0.215,-0.022,-0.193,0.083,0.093,0.125,0.099,0.027,0.012,-0.065,0.008,-0.059
'0:03.993',-0.171,-0.273,-0.102,0.222,-0.035,-0.188,0.086,0.093,0.127,0.102,0.032,0.016,-0.064,0.009,-0.060
'0:03.994',-0.165,-0.273,-0.107,0.218,-0.029,-0.191,0.081,0.089,0.123,0.102,0.032,0.018,-0.059,0.017,-0.061
'0:03.995',-0.150,-0.274,-0.124,0.212,-0.013,-0.200,0.070,0.081,0.116,0.090,0.022,0.011,-0.060,0.017,-0.061
'0:03.996',-0.153,-0.270,-0.117,0.211,-0.018,-0.193,0.075,0.085,0.121,0.095,0.029,0.021,-0.059,0.012,-0.062
'0:03.997',-0.146,-0.268,-0.121,0.207,-0.012,-0.195,0.077,0.084,0.118,0.093,0.029,0.023,-0.059,0.019,-0.064
'0:03.998',-0.153,-0.278,-0.123,0.215,-0.015,-0.201,0.071,0.079,0.115,0.087,0.022,0.021,-0.058,0.025,-0.064
'0:03.999',-0.156,-0.280,-0.124,0.218,-0.016,-0.203,0.071,0.080,0.118,0.088,0.022,0.022,-0.058,0.025,-0.064
'0:04.000',-0.144,-0.273,-0.129,0.209,-0.007,-0.202,0.074,0.082,0.118,0.084,0.018,0.025,-0.059,0.018,-0.062
'0:04.001',-0.124,-0.255,-0.131,0.190,0.003,-0.193,0.082,0.091,0.126,0.086,0.021,0.031,-0.060,0.009,-0.061
'0:04.002',-0.131,-0.257,-0.127,0.194,-0.002,-0.192,0.087,0.095,0.129,0.086,0.024,0.030,-0.061,0.004,-0.059
'0:04.003',-0.158,-0.285,-0.128,0.222,-0.015,-0.206,0.077,0.084,0.119,0.077,0.013,0.021,-0.061,0.004,-0.056
'0:04.004',-0.168,-0.296,-0.129,0.232,-0.019,-0.212,0.071,0.080,0.115,0.076,0.009,0.016,-0.062,0.010,-0.055
'0:04.005',-0.155,-0.281,-0.125,0.217,-0.015,-0.203,0.079,0.085,0.119,0.086,0.016,0.020,-0.063,0.011,-0.056
'0:04.006',-0.135,-0.260,-0.126,0.198,-0.004,-0.193,0.082,0.086,0.120,0.090,0.018,0.022,-0.062,0.007,-0.056
'0:04.007',-0.143,-0.263,-0.119,0.203,-0.011,-0.192,0.083,0.085,0.117,0.088,0.013,0.021,-0.063,0.015,-0.054
'0:04.008',-0.152,-0.271,-0.118,0.211,-0.017,-0.195,0.083,0.087,0.117,0.090,0.013,0.019,-0.064,0.018,-0.055
'0:04.009',-0.167,-0.281,-0.115,0.224,-0.025,-0.199,0.076,0.080,0.116,0.092,0.011,0.017,-0.062,0.013,-0.057
'0:04.010',-0.185,-0.294,-0.108,0.239,-0.038,-0.202,0.071,0.075,0.114,0.094,0.011,0.015,-0.062,0.009,-0.057
'0:04.011',-0.179,-0.285,-0.106,0.232,-0.036,-0.196,0.072,0.078,0.114,0.091,0.014,0.015,-0.062,0.012,-0.059
'0:04.012',-0.171,-0.276,-0.104,0.224,-0.033,-0.191,0.071,0.075,0.113,0.084,0.016,0.018,-0.062,0.024,-0.059
'0:04.013',-0.164,-0.268,-0.104,0.216,-0.029,-0.186,0.072,0.073,0.110,0.078,0.015,0.019,-0.062,0.025,-0.057
'0:04.014',-0.162,-0.264,-0.102,0.212,-0.029,-0.183,0.073,0.071,0.107,0.074,0.013,0.019,-0.063,0.028,-0.057
'0:04.015',-0.162,-0.263,-0.102,0.212,-0.029,-0.182,0.070,0.069,0.106,0.074,0.011,0.018,-0.065,0.031,-0.054
'0:04.016',-0.160,-0.267,-0.107,0.213,-0.026,-0.187,0.071,0.072,0.110,0.077,0.010,0.018,-0.066,0.026,-0.055
'0:04.017',-0.163,-0.272,-0.109,0.217,-0.027,-0.191,0.071,0.072,0.114,0.084,0.011,0.019,-0.067,0.021,-0.060
'0:04.018',-0.158,-0.268,-0.110,0.212,-0.024,-0.189,0.076,0.072,0.115,0.087,0.013,0.020,-0.067,0.021,-0.062
'0:04.019',-0.152,-0.265,-0.113,0.208,-0.020,-0.189,0.077,0.075,0.113,0.083,0.013,0.021,-0.068,0.021,-0.061
'0:04.020',-0.149,-0.266,-0.117,0.207,-0.016,-0.192,0.077,0.076,0.111,0.077,0.013,0.024,-0.068,0.019,-0.058
'0:04.021',-0.147,-0.268,-0.120,0.208,-0.013,-0.195,0.084,0.078,0.111,0.075,0.015,0.026,-0.067,0.011,-0.057
'0:04.022',-0.147,-0.270,-0.122,0.208,-0.013,-0.196,0.076,0.074,0.110,0.076,0.016,0.027,-0.064,-0.004,-0.057
'0:04.023',-0.143,-0.267,-0.123,0.205,-0.010,-0.195,0.074,0.076,0.114,0.082,0.021,0.029,-0.061,0.006,-0.057
'0:04.024',-0.136,-0.268,-0.132,0.202,-0.002,-0.200,0.075,0.077,0.113,0.084,0.022,0.028,-0.062,0.013,-0.057
'0:04.025',-0.131,-0.268,-0.137,0.200,0.003,-0.202,0.076,0.075,0.111,0.085,0.025,0.030,-0.060,0.014,-0.054
'0:04.026',-0.146,-0.267,-0.120,0.207,-0.013,-0.194,0.083,0.076,0.114,0.088,0.026,0.032,-0.062,0.024,-0.056
'0:04.027',-0.152,-0.269,-0.116,0.210,-0.018,-0.193,0.082,0.075,0.115,0.089,0.026,0.033,-0.061,0.018,-0.059
'0:04.028',-0.148,-0.266,-0.118,0.207,-0.015,-0.193,0.083,0.077,0.117,0.094,0.033,0.036,-0.058,0.011,-0.059
'0:04.029',-0.150,-0.264,-0.114,0.207,-0.018,-0.189,0.083,0.076,0.114,0.095,0.034,0.036,-0.059,0.014,-0.058
'0:04.030',-0.157,-0.265,-0.108,0.210,-0.024,-0.186,0.081,0.075,0.116,0.096,0.035,0.036,-0.059,0.009,-0.056
'0:04.031',-0.158,-0.262,-0.104,0.209,-0.026,-0.183,0.077,0.074,0.115,0.096,0.036,0.038,-0.059,0.014,-0.058
'0:04.032',-0.160,-0.259,-0.099,0.209,-0.030,-0.179,0.081,0.073,0.108,0.089,0.036,0.035,-0.063,0.028,-0.060
'0:04.033',-0.158,-0.252,-0.094,0.204,-0.032,-0.173,0.080,0.071,0.111,0.095,0.042,0.037,-0.062,0.029,-0.063
'0:04.034',-0.147,-0.241,-0.094,0.195,-0.026,-0.168,0.079,0.070,0.113,0.099,0.045,0.038,-0.059,0.035,-0.065
'0:04.035',-0.143,-0.237,-0.094,0.191,-0.025,-0.166,0.076,0.072,0.111,0.096,0.046,0.037,-0.058,0.034,-0.062
'0:04.036',-0.141,-0.238,-0.098,0.190,-0.021,-0.169,0.073,0.075,0.114,0.100,0.050,0.041,-0.054,0.036,-0.062
'0:04.037',-0.147,-0.247,-0.100,0.197,-0.024,-0.173,0.073,0.070,0.111,0.097,0.047,0.040,-0.054,0.035,-0.063
'0:04.038',-0.159,-0.260,-0.102,0.209,-0.029,-0.181,0.066,0.064,0.102,0.088,0.042,0.033,-0.053,0.028,-0.064
'0:04.039',-0.152,-0.263,-0.110,0.207,-0.021,-0.186,0.063,0.059,0.100,0.086,0.041,0.033,-0.051,0.024,-0.066
'0:04.040',-0.141,-0.254,-0.114,0.197,-0.013,-0.183,0.064,0.061,0.103,0.092,0.045,0.035,-0.051,0.021,-0.067
'0:04.041',-0.140,-0.248,-0.109,0.194,-0.015,-0.179,0.066,0.068,0.108,0.097,0.048,0.037,-0.051,0.031,-0.067
'0:04.042',-0.144,-0.246,-0.102,0.196,-0.021,-0.174,0.072,0.070,0.109,0.095,0.044,0.041,-0.051,0.029,-0.065
'0:04.043',-0.150,-0.248,-0.098,0.199,-0.025,-0.173,0.072,0.066,0.108,0.088,0.042,0.040,-0.056,0.023,-0.062
'0:04.044',-0.148,-0.250,-0.102,0.199,-0.023,-0.176,0.071,0.064,0.106,0.084,0.037,0.037,-0.058,0.025,-0.061
'0:04.045',-0.149,-0.245,-0.096,0.197,-0.026,-0.171,0.070,0.068,0.106,0.086,0.038,0.040,-0.059,0.030,-0.063
'0:04.046',-0.160,-0.241,-0.081,0.201,-0.039,-0.162,0.067,0.067,0.107,0.089,0.041,0.043,-0.058,0.035,-0.063
'0:04.047',-0.153,-0.232,-0.080,0.193,-0.036,-0.156,0.068,0.070,0.108,0.092,0.041,0.045,-0.056,0.039,-0.065
'0:04.048',-0.125,-0.231,-0.106,0.178,-0.009,-0.169,0.058,0.061,0.099,0.083,0.033,0.038,-0.057,0.037,-0.064
'0:04.049',-0.134,-0.241,-0.107,0.188,-0.013,-0.174,0.052,0.050,0.093,0.079,0.029,0.034,-0.058,0.034,-0.062
'0:04.050',-0.165,-0.241,-0.076,0.203,-0.044,-0.160,0.061,0.059,0.103,0.089,0.038,0.043,-0.059,0.035,-0.065
'0:04.051',-0.170,-0.235,-0.065,0.203,-0.052,-0.150,0.063,0.064,0.106,0.096,0.044,0.046,-0.059,0.038,-0.065
'0:04.052',-0.161,-0.236,-0.075,0.199,-0.043,-0.155,0.055,0.054,0.098,0.091,0.040,0.041,-0.058,0.041,-0.064
'0:04.053',-0.142,-0.229,-0.086,0.185,-0.028,-0.158,0.052,0.052,0.094,0.089,0.040,0.040,-0.056,0.038,-0.061
'0:04.054',-0.147,-0.228,-0.081,0.188,-0.033,-0.155,0.054,0.052,0.093,0.090,0.040,0.041,-0.054,0.045,-0.065
'0:04.055',-0.160,-0.236,-0.076,0.198,-0.041,-0.157,0.051,0.046,0.091,0.088,0.038,0.041,-0.051,0.047,-0.065
'0:04.056',-0.151,-0.236,-0.086,0.194,-0.033,-0.161,0.052,0.048,0.090,0.089,0.041,0.042,-0.051,0.039,-0.064
'0:04.057',-0.143,-0.246,-0.102,0.195,-0.021,-0.174,0.046,0.041,0.083,0.082,0.034,0.033,-0.054,0.041,-0.064
'0:04.058',-0.152,-0.243,-0.090,0.198,-0.030,-0.167,0.048,0.045,0.087,0.084,0.035,0.036,-0.055,0.048,-0.063
'0:04.059',-0.138,-0.230,-0.092,0.184,-0.022,-0.162,0.053,0.050,0.090,0.086,0.040,0.043,-0.055,0.049,-0.065
'0:04.060',-0.106,-0.223,-0.116,0.165,0.005,-0.170,0.049,0.046,0.087,0.081,0.032,0.038,-0.055,0.042,-0.064
'0:04.061',-0.141,-0.251,-0.110,0.196,-0.015,-0.180,0.043,0.039,0.079,0.071,0.018,0.029,-0.057,0.036,-0.065
'0:04.062',-0.151,-0.266,-0.115,0.208,-0.018,-0.191,0.033,0.030,0.069,0.063,0.010,0.021,-0.058,0.037,-0.067
'0:04.063',-0.147,-0.247,-0.099,0.198,-0.024,-0.173,0.042,0.040,0.081,0.079,0.025,0.033,-0.057,0.040,-0.066
'0:04.064',-0.169,-0.243,-0.075,0.206,-0.046,-0.160,0.052,0.048,0.089,0.088,0.038,0.044,-0.058,0.041,-0.065
'0:04.065',-0.161,-0.239,-0.079,0.200,-0.041,-0.160,0.049,0.045,0.088,0.089,0.040,0.046,-0.056,0.042,-0.066
'0:04.066',-0.143,-0.234,-0.091,0.189,-0.025,-0.164,0.045,0.035,0.080,0.081,0.035,0.040,-0.054,0.044,-0.065
'0:04.067',-0.128,-0.233,-0.105,0.180,-0.011,-0.169,0.040,0.030,0.073,0.076,0.030,0.033,-0.053,0.048,-0.065
'0:04.068',-0.144,-0.233,-0.089,0.189,-0.028,-0.161,0.039,0.037,0.082,0.086,0.038,0.042,-0.052,0.043,-0.066
'0:04.069',-0.149,-0.234,-0.086,0.192,-0.032,-0.160,0.042,0.035,0.080,0.086,0.040,0.043,-0.052,0.046,-0.065
'0:04.070',-0.150,-0.232,-0.082,0.191,-0.035,-0.157,0.042,0.034,0.077,0.084,0.037,0.041,-0.053,0.050,-0.063
'0:04.071',-0.154,-0.228,-0.074,0.191,-0.040,-0.151,0.039,0.035,0.078,0.083,0.039,0.042,-0.053,0.043,-0.061
'0:04.072',-0.145,-0.219,-0.073,0.182,-0.035,-0.146,0.038,0.032,0.076,0.081,0.042,0.043,-0.055,0.048,-0.064
'0:04.073',-0.157,-0.207,-0.051,0.181,-0.052,-0.129,0.042,0.040,0.083,0.087,0.051,0.052,-0.056,0.051,-0.067
'0:04.074',-0.158,-0.208,-0.050,0.183,-0.054,-0.130,0.034,0.032,0.078,0.084,0.046,0.050,-0.056,0.058,-0.069
'0:04.075',-0.147,-0.214,-0.067,0.180,-0.040,-0.141,0.022,0.021,0.067,0.074,0.036,0.042,-0.057,0.064,-0.068
'0:04.076',-0.142,-0.212,-0.070,0.177,-0.035,-0.141,0.028,0.022,0.070,0.077,0.040,0.044,-0.056,0.066,-0.068
'0:04.077',-0.167,-0.212,-0.045,0.190,-0.060,-0.130,0.035,0.025,0.077,0.088,0.047,0.051,-0.057,0.065,-0.070
'0:04.078',-0.167,-0.210,-0.044,0.188,-0.061,-0.128,0.035,0.030,0.080,0.092,0.050,0.054,-0.054,0.065,-0.068
'0:04.079',-0.139,-0.213,-0.075,0.176,-0.032,-0.144,0.028,0.023,0.070,0.081,0.040,0.045,-0.053,0.058,-0.066
'0:04.080',-0.132,-0.220,-0.087,0.175,-0.022,-0.153,0.027,0.018,0.067,0.076,0.033,0.041,-0.054,0.048,-0.066
'0:04.081',-0.133,-0.221,-0.088,0.176,-0.022,-0.154,0.030,0.022,0.072,0.080,0.035,0.043,-0.052,0.051,-0.066
'0:04.082',-0.138,-0.223,-0.086,0.180,-0.025,-0.154,0.030,0.024,0.076,0.086,0.038,0.045,-0.051,0.054,-0.065
'0:04.083',-0.146,-0.225,-0.080,0.185,-0.033,-0.152,0.033,0.026,0.079,0.095,0.044,0.048,-0.049,0.048,-0.065
'0:04.084',-0.145,-0.227,-0.082,0.186,-0.031,-0.155,0.034,0.026,0.078,0.096,0.048,0.048,-0.050,0.045,-0.066
'0:04.085',-0.139,-0.227,-0.088,0.182,-0.025,-0.158,0.032,0.026,0.078,0.098,0.049,0.046,-0.050,0.049,-0.066
'0:04.086',-0.152,-0.228,-0.075,0.190,-0.038,-0.152,0.034,0.025,0.080,0.103,0.053,0.045,-0.051,0.045,-0.067
'0:04.087',-0.158,-0.225,-0.067,0.191,-0.045,-0.145,0.034,0.022,0.078,0.103,0.055,0.046,-0.051,0.053,-0.069
'0:04.088',-0.182,-0.223,-0.041,0.202,-0.070,-0.132,0.043,0.029,0.082,0.106,0.064,0.057,-0.051,0.056,-0.069
'0:04.089',-0.149,-0.227,-0.077,0.188,-0.036,-0.152,0.029,0.013,0.065,0.089,0.050,0.043,-0.054,0.053,-0.069
'0:04.090',-0.115,-0.222,-0.107,0.168,-0.004,-0.165,0.013,-0.002,0.052,0.075,0.038,0.034,-0.052,0.055,-0.067
'0:04.091',-0.152,-0.220,-0.068,0.186,-0.042,-0.143,0.022,0.007,0.064,0.086,0.051,0.046,-0.050,0.056,-0.064
'0:04.092',-0.166,-0.227,-0.060,0.196,-0.052,-0.143,0.024,0.007,0.062,0.086,0.053,0.048,-0.048,0.064,-0.065
'0:04.093',-0.157,-0.215,-0.059,0.186,-0.049,-0.138,0.025,0.011,0.062,0.086,0.058,0.052,-0.044,0.071,-0.065
'0:04.094',-0.151,-0.209,-0.059,0.180,-0.046,-0.134,0.025,0.009,0.061,0.084,0.057,0.051,-0.043,0.072,-0.065
'0:04.095',-0.161,-0.212,-0.052,0.186,-0.054,-0.133,0.025,0.003,0.059,0.082,0.059,0.051,-0.044,0.067,-0.065
'0:04.096',-0.161,-0.217,-0.056,0.189,-0.052,-0.137,0.022,-0.001,0.058,0.081,0.059,0.051,-0.043,0.067,-0.066
'0:04.097',-0.143,-0.206,-0.062,0.174,-0.041,-0.135,0.020,0.001,0.059,0.086,0.059,0.052,-0.043,0.069,-0.067
'0:04.098',-0.120,-0.182,-0.062,0.151,-0.029,-0.122,0.026,0.007,0.065,0.093,0.066,0.059,-0.043,0.076,-0.066
'0:04.099',-0.136,-0.199,-0.062,0.168,-0.037,-0.131,0.025,0.000,0.061,0.088,0.060,0.055,-0.043,0.073,-0.067
'0:04.100',-0.172,-0.215,-0.044,0.194,-0.064,-0.130,0.025,0.002,0.066,0.087,0.060,0.056,-0.043,0.070,-0.065
'0:04.101',-0.162,-0.207,-0.046,0.184,-0.058,-0.128,0.032,0.006,0.070,0.088,0.062,0.059,-0.044,0.075,-0.063
'0:04.102',-0.130,-0.199,-0.069,0.165,-0.030,-0.134,0.026,0.004,0.067,0.083,0.055,0.053,-0.045,0.071,-0.064
'0:04.103',-0.103,-0.186,-0.083,0.144,-0.010,-0.135,0.029,0.006,0.068,0.085,0.054,0.054,-0.048,0.065,-0.062
'0:04.104',-0.109,-0.185,-0.076,0.147,-0.016,-0.131,0.035,0.007,0.070,0.089,0.057,0.059,-0.050,0.062,-0.062
'0:04.105',-0.152,-0.216,-0.064,0.184,-0.044,-0.140,0.026,0.001,0.063,0.083,0.046,0.051,-0.050,0.068,-0.062
'0:04.106',-0.173,-0.232,-0.059,0.203,-0.058,-0.145,0.018,-0.011,0.054,0.077,0.038,0.044,-0.049,0.070,-0.059
'0:04.107',-0.163,-0.212,-0.050,0.188,-0.056,-0.131,0.020,-0.003,0.062,0.090,0.047,0.053,-0.045,0.076,-0.062
'0:04.108',-0.131,-0.192,-0.061,0.161,-0.034,-0.127,0.025,0.001,0.066,0.099,0.052,0.060,-0.043,0.076,-0.066
'0:04.109',-0.120,-0.185,-0.065,0.153,-0.028,-0.126,0.025,-0.003,0.063,0.100,0.052,0.060,-0.044,0.070,-0.063
'0:04.110',-0.144,-0.194,-0.049,0.169,-0.047,-0.121,0.021,-0.005,0.060,0.101,0.053,0.061,-0.043,0.074,-0.064
'0:04.111',-0.154,-0.199,-0.044,0.176,-0.054,-0.122,0.012,-0.013,0.055,0.098,0.052,0.059,-0.042,0.076,-0.064
'0:04.112',-0.158,-0.194,-0.036,0.175,-0.060,-0.116,0.013,-0.011,0.059,0.105,0.060,0.061,-0.043,0.074,-0.066
'0:04.113',-0.144,-0.182,-0.038,0.164,-0.053,-0.111,0.017,-0.007,0.062,0.110,0.068,0.067,-0.041,0.074,-0.067
'0:04.114',-0.146,-0.181,-0.035,0.164,-0.055,-0.108,0.015,-0.007,0.060,0.101,0.067,0.070,-0.040,0.080,-0.066
'0:04.115',-0.151,-0.182,-0.032,0.167,-0.059,-0.107,0.013,-0.011,0.056,0.091,0.064,0.066,-0.044,0.089,-0.066
'0:04.116',-0.149,-0.180,-0.032,0.165,-0.058,-0.106,0.013,-0.008,0.058,0.090,0.067,0.067,-0.044,0.085,-0.068
'0:04.117',-0.145,-0.185,-0.040,0.166,-0.053,-0.113,0.011,-0.012,0.056,0.086,0.066,0.065,-0.046,0.072,-0.068
'0:04.118',-0.130,-0.190,-0.059,0.160,-0.035,-0.124,0.001,-0.016,0.047,0.075,0.056,0.056,-0.047,0.070,-0.067
'0:04.119',-0.139,-0.195,-0.057,0.167,-0.041,-0.126,0.004,-0.017,0.048,0.076,0.056,0.056,-0.046,0.072,-0.067
'0:04.120',-0.135,-0.190,-0.055,0.163,-0.040,-0.122,0.007,-0.016,0.052,0.082,0.060,0.061,-0.045,0.080,-0.068
'0:04.121',-0.120,-0.180,-0.059,0.150,-0.030,-0.120,0.004,-0.007,0.055,0.084,0.064,0.064,-0.042,0.079,-0.069
'0:04.122',-0.113,-0.171,-0.058,0.142,-0.028,-0.115,0.013,-0.005,0.060,0.090,0.072,0.070,-0.042,0.077,-0.069
'0:04.123',-0.114,-0.179,-0.066,0.146,-0.024,-0.122,0.011,-0.009,0.058,0.091,0.075,0.067,-0.043,0.073,-0.070
'0:04.124',-0.111,-0.176,-0.067,0.143,-0.022,-0.121,0.009,-0.009,0.060,0.096,0.078,0.069,-0.042,0.072,-0.070
'0:04.125',-0.107,-0.157,-0.049,0.132,-0.029,-0.103,0.021,0.004,0.073,0.109,0.089,0.083,-0.041,0.076,-0.073
'0:04.126',-0.117,-0.175,-0.058,0.146,-0.029,-0.117,0.005,-0.013,0.059,0.099,0.076,0.068,-0.041,0.080,-0.072
'0:04.127',-0.127,-0.189,-0.062,0.158,-0.033,-0.126,-0.004,-0.022,0.050,0.093,0.069,0.060,-0.041,0.086,-0.073
'0:04.128',-0.151,-0.180,-0.029,0.166,-0.061,-0.105,0.012,-0.007,0.065,0.113,0.086,0.076,-0.041,0.086,-0.078
'0:04.129',-0.153,-0.178,-0.025,0.166,-0.064,-0.102,0.015,-0.009,0.065,0.115,0.087,0.076,-0.041,0.090,-0.082
'0:04.130',-0.133,-0.172,-0.038,0.152,-0.047,-0.105,0.011,-0.013,0.058,0.107,0.086,0.073,-0.041,0.091,-0.082
'0:04.131',-0.129,-0.164,-0.035,0.146,-0.047,-0.100,0.013,-0.013,0.060,0.111,0.087,0.075,-0.043,0.100,-0.083
'0:04.132',-0.143,-0.163,-0.019,0.153,-0.061,-0.091,0.018,-0.004,0.066,0.119,0.093,0.082,-0.043,0.097,-0.085
'0:04.133',-0.137,-0.155,-0.018,0.146,-0.059,-0.087,0.012,-0.007,0.066,0.118,0.094,0.086,-0.040,0.100,-0.087
'0:04.134',-0.117,-0.148,-0.031,0.133,-0.043,-0.090,0.007,-0.015,0.059,0.111,0.087,0.081,-0.041,0.114,-0.089
'0:04.135',-0.117,-0.144,-0.028,0.131,-0.044,-0.086,0.013,-0.013,0.062,0.109,0.087,0.082,-0.043,0.115,-0.089
'0:04.136',-0.119,-0.141,-0.021,0.131,-0.049,-0.082,0.014,-0.007,0.069,0.115,0.092,0.088,-0.044,0.126,-0.091
'0:04.137',-0.119,-0.142,-0.023,0.131,-0.048,-0.083,0.013,-0.006,0.069,0.113,0.090,0.086,-0.045,0.125,-0.092
'0:04.138',-0.112,-0.139,-0.027,0.126,-0.043,-0.084,0.015,-0.013,0.066,0.108,0.086,0.083,-0.048,0.116,-0.093
'0:04.139',-0.105,-0.136,-0.030,0.120,-0.037,-0.083,0.019,-0.011,0.066,0.110,0.090,0.085,-0.049,0.117,-0.097
'0:04.140',-0.101,-0.129,-0.029,0.115,-0.036,-0.079,0.019,-0.012,0.069,0.116,0.097,0.089,-0.049,0.127,-0.101
'0:04.141',-0.093,-0.121,-0.028,0.107,-0.033,-0.074,0.017,-0.010,0.073,0.126,0.104,0.095,-0.047,0.140,-0.104
'0:04.142',-0.103,-0.123,-0.020,0.113,-0.041,-0.072,0.019,-0.010,0.072,0.131,0.108,0.098,-0.046,0.145,-0.109
'0:04.143',-0.110,-0.118,-0.009,0.114,-0.051,-0.064,0.021,-0.013,0.075,0.136,0.113,0.100,-0.049,0.143,-0.111
'0:04.144',-0.099,-0.103,-0.005,0.101,-0.046,-0.054,0.029,-0.005,0.084,0.145,0.120,0.105,-0.049,0.149,-0.115
'0:04.145',-0.091,-0.092,-0.001,0.091,-0.045,-0.046,0.034,-0.002,0.087,0.148,0.123,0.110,-0.051,0.156,-0.119
'0:04.146',-0.091,-0.077,0.014,0.085,-0.052,-0.032,0.041,0.004,0.091,0.145,0.124,0.115,-0.051,0.154,-0.116
'0:04.147',-0.117,-0.089,0.028,0.103,-0.072,-0.030,0.045,0.002,0.090,0.137,0.120,0.115,-0.051,0.162,-0.117
'0:04.148',-0.131,-0.103,0.028,0.117,-0.079,-0.038,0.045,-0.003,0.086,0.134,0.117,0.113,-0.051,0.163,-0.119
'0:04.149',-0.135,-0.102,0.034,0.118,-0.084,-0.034,0.049,-0.003,0.089,0.139,0.120,0.115,-0.049,0.168,-0.120
'0:04.150',-0.126,-0.097,0.029,0.111,-0.077,-0.034,0.045,-0.009,0.087,0.139,0.120,0.115,-0.049,0.172,-0.124
'0:04.151',-0.119,-0.091,0.029,0.105,-0.074,-0.032,0.048,-0.007,0.087,0.138,0.120,0.115,-0.049,0.172,-0.124
'0:04.152',-0.148,-0.109,0.038,0.129,-0.093,-0.035,0.047,-0.009,0.084,0.130,0.115,0.109,-0.050,0.179,-0.122
'0:04.153',-0.151,-0.102,0.050,0.127,-0.100,-0.026,0.048,-0.007,0.085,0.129,0.117,0.111,-0.051,0.185,-0.123
'0:04.154',-0.147,-0.083,0.064,0.115,-0.105,-0.010,0.052,-0.004,0.093,0.141,0.128,0.120,-0.049,0.186,-0.127
'0:04.155',-0.124,-0.075,0.049,0.100,-0.086,-0.014,0.043,-0.010,0.090,0.138,0.125,0.116,-0.050,0.188,-0.127
'0:04.156',-0.107,-0.058,0.050,0.083,-0.079,-0.004,0.048,-0.004,0.097,0.142,0.129,0.121,-0.049,0.196,-0.128
'0:04.157',-0.113,-0.058,0.055,0.086,-0.084,-0.002,0.047,-0.003,0.101,0.145,0.135,0.126,-0.047,0.185,-0.126
'0:04.158',-0.099,-0.047,0.051,0.073,-0.075,0.002,0.043,-0.002,0.101,0.144,0.135,0.125,-0.045,0.184,-0.124
'0:04.159',-0.092,-0.052,0.040,0.072,-0.066,-0.006,0.028,-0.011,0.097,0.142,0.130,0.121,-0.043,0.196,-0.127
'0:04.160',-0.104,-0.072,0.033,0.088,-0.068,-0.020,0.006,-0.025,0.088,0.138,0.125,0.117,-0.041,0.191,-0.126
